ranking_funerario;empresa_raw;peer_id;primas_funerario_miles_bs;primas_total_personas_miles_bs;pagina_pdf;year;archivo_fuente
1;Mercantil C.A., Seguros;mercantil;246210.07388;8677459.76666;;2024;seguro-cifras-2024-descargables.xlsx
2;Mundial, C.A. de Seguros;mundial c a de seguros;104032.43765;115790.51918;;2024;seguro-cifras-2024-descargables.xlsx
3;Fe C.A., Seguros;fe c a seguros;88993.54968;100434.7343;;2024;seguro-cifras-2024-descargables.xlsx
4;Banesco Seguros C.A.;banesco;63166.57031;722363.6746599999;;2024;seguro-cifras-2024-descargables.xlsx
5;BBVA Seguros, C.A.;bbva seguros c a;61553.09634;98962.54422;;2024;seguro-cifras-2024-descargables.xlsx
6;Mapfre La Seguridad, C.A. de Seguros;mapfre;34128.53936;1255041.61873;;2024;seguro-cifras-2024-descargables.xlsx
7;Universitas, C.A. Seguros;universitas c a seguros;24020.74413;584259.48023;;2024;seguro-cifras-2024-descargables.xlsx
8;Internacional, C.A. de Seguros;La Internacional;21899.01516;1884632.9712299998;;2024;seguro-cifras-2024-descargables.xlsx
9;Horizonte, S.A. Seguros;horizonte s a seguros;18770.55833;214661.09156;;2024;seguro-cifras-2024-descargables.xlsx
10;Pirámide C.A., Seguros;piramide;18280.48417;1109429.18665;;2024;seguro-cifras-2024-descargables.xlsx
11;Previsora, C.N.A. de Seguros;previsora c n a de seguros;17919.52457;48233.29887;;2024;seguro-cifras-2024-descargables.xlsx
12;Virgen del Valle C.A., Seguros;virgen del valle c a seguros;14313.43126;14313.43126;;2024;seguro-cifras-2024-descargables.xlsx
13;Capital C.A., Seguros;capital c a seguros;13320.04206;20917.28405;;2024;seguro-cifras-2024-descargables.xlsx
14;Oceánica de Seguros, C.A.;oceanica;12593.29647;1100275.8061600002;;2024;seguro-cifras-2024-descargables.xlsx
15;Miranda C.A., Seguros;miranda;11027.36404;255900.11073000001;;2024;seguro-cifras-2024-descargables.xlsx
16;Venezuela C.A., Seguros;venezuela c a seguros;10569.4939;558650.11239;;2024;seguro-cifras-2024-descargables.xlsx
17;Constitución C.A., Seguros;constitucion;5372.7778;2000461.01631;;2024;seguro-cifras-2024-descargables.xlsx
18;Altamira C.A., Seguros;altamira c a seguros;3388.86231;479784.21642;;2024;seguro-cifras-2024-descargables.xlsx
