year;month;fecha_cierre_mes;ves_por_usd;fuente
2022;12;2022-12-31;17.48;bcv_referencia_cierre_mes_dic2022
2023;1;2023-01-31;20.5;interpolacion_log_anclas_publicas
2023;2;2023-02-28;21.512969551292255;interpolacion_log_anclas_publicas
2023;3;2023-03-31;22.692959185649933;interpolacion_log_anclas_publicas
2023;4;2023-04-30;23.89647334160355;interpolacion_log_anclas_publicas
2023;5;2023-05-31;25.20719851943484;interpolacion_log_anclas_publicas
2023;6;2023-06-30;26.544054590160826;interpolacion_log_anclas_publicas
2023;7;2023-07-31;27.999999999999996;interpolacion_log_anclas_publicas
2023;8;2023-08-31;29.211005179656162;interpolacion_log_anclas_publicas
2023;9;2023-09-30;30.4327918553389;interpolacion_log_anclas_publicas
2023;10;2023-10-31;31.749015732775078;interpolacion_log_anclas_publicas
2023;11;2023-11-30;33.07695786108505;interpolacion_log_anclas_publicas
2023;12;2023-12-31;34.507542407408;interpolacion_log_anclas_publicas
2024;1;2024-01-31;36.0;interpolacion_log_anclas_publicas
2024;2;2024-02-29;37.16970097123789;interpolacion_log_anclas_publicas
2024;3;2024-03-31;38.46212969006861;interpolacion_log_anclas_publicas
2024;4;2024-04-30;39.75563928919173;interpolacion_log_anclas_publicas
2024;5;2024-05-31;41.137983742072464;interpolacion_log_anclas_publicas
2024;6;2024-06-30;42.52148427331532;interpolacion_log_anclas_publicas
2024;7;2024-07-31;43.99999999999999;interpolacion_log_anclas_publicas
2024;8;2024-08-31;45.25597092450532;interpolacion_log_anclas_publicas
2024;9;2024-09-30;46.505551594435296;interpolacion_log_anclas_publicas
2024;10;2024-10-31;47.83304297240559;interpolacion_log_anclas_publicas
2024;11;2024-11-30;49.1537802068792;interpolacion_log_anclas_publicas
2024;12;2024-12-31;50.55686472436476;interpolacion_log_anclas_publicas
2025;1;2025-01-31;52.00000000000001;interpolacion_log_anclas_publicas
2025;2;2025-02-28;57.08085319331258;interpolacion_log_anclas_publicas
2025;3;2025-03-31;63.28714045836484;interpolacion_log_anclas_publicas
2025;4;2025-04-30;69.93499078908972;interpolacion_log_anclas_publicas
2025;5;2025-05-31;77.53888278499159;interpolacion_log_anclas_publicas
2025;6;2025-06-30;85.68377420895091;interpolacion_log_anclas_publicas
2025;7;2025-07-31;95.0;interpolacion_log_anclas_publicas
2025;8;2025-08-31;148.444;bcv_api_diaria_ultimo_dia_mes
2025;9;2025-09-30;177.6143;bcv_api_diaria_ultimo_dia_mes
2025;10;2025-10-31;223.9622;bcv_api_diaria_ultimo_dia_mes
2025;11;2025-11-30;247.3003;bcv_api_diaria_ultimo_dia_mes
2025;12;2025-12-31;301.3709;bcv_api_diaria_ultimo_dia_mes
2026;1;2026-01-31;370.2544;bcv_api_diaria_ultimo_dia_mes
2026;2;2026-02-28;405.3518;bcv_api_diaria_ultimo_dia_mes
2026;3;2026-03-31;443.62;bcv_extrapolacion_ultimo_mes
